y,x,lon,lat,Average Wind Speed at 110m (m/s),NREL ATB Wind Class,Representative Wind Turbine,Capacity Factors,Capacity Factors,Spur Line Cost (USD/MW),LCOE (USD/MWh),Availability Fraction,Maximum Capacity (MW)
42.0,-87.0,-87.0,42.0,7.240486,7,T1,0.40320813298225405,0.40320813298225405,778.8280945281373,41.65769863533753,0.0,0.0
42.0,-86.75,-86.75,42.0,6.9572206,8,T2,0.37930083741247655,0.37930083741247655,729.5408595982764,43.59171643040606,0.0,0.0
42.0,-86.5,-86.5,42.0,6.369992,9,T3,0.37322496290814267,0.37322496290814267,680.290492779273,47.63772678738421,0.0,0.0
42.0,-86.25,-86.25,42.0,5.999881,9,T3,0.33070037076376263,0.33070037076376263,631.0860978498118,52.66758299432839,0.0,0.0
42.0,-86.0,-86.0,42.0,5.863263,10,T4,0.35220666100084785,0.35220666100084785,581.9398117179888,51.176042294629674,0.0,0.0
42.0,-85.75,-85.75,42.0,5.924772,9,T3,0.32022931771459406,0.32022931771459406,532.868192613783,52.13075449814445,0.0,0.0
42.0,-85.5,-85.5,42.0,5.9858227,9,T3,0.32852222899184624,0.32852222899184624,483.8944418697969,49.71686434390094,0.0,0.0
42.0,-85.25,-85.25,42.0,6.0707903,9,T3,0.3391945785519283,0.3391945785519283,435.0521027087964,47.09203248391479,0.0,0.0
42.0,-85.0,-85.0,42.0,6.2050033,9,T3,0.3535047388591445,0.3535047388591445,386.391510289654,44.171876675641016,0.0,0.0
42.0,-84.75,-84.75,42.0,6.191533,9,T3,0.3503576491121823,0.3503576491121823,337.99167904657185,43.55119387386438,0.0,0.0
42.0,-84.5,-84.5,42.0,6.1603756,9,T3,0.34580102133557933,0.34580102133557933,289.91965578417836,43.10118687289207,0.0,0.0
42.0,-84.25,-84.25,42.0,6.1439986,9,T3,0.34322232297701677,0.34322232297701677,242.28801983430586,42.402890319081735,0.0,0.0
42.0,-84.0,-84.0,42.0,6.0806446,9,T3,0.3365454328151474,0.3365454328151474,195.75926302119097,42.22587537065354,0.0,0.0
42.0,-83.75,-83.75,42.0,6.0926757,9,T3,0.33753141804790954,0.33753141804790954,151.08445162871294,41.12768886736955,0.0,0.0
42.0,-83.5,-83.5,42.0,6.2303495,9,T3,0.35211543201345596,0.35211543201345596,110.65854085595309,38.578663417021836,0.0,0.0
42.0,-83.25,-83.25,42.0,6.924068,8,T2,0.37301827754080297,0.37301827754080297,77.57079702167795,31.452863196058694,6.112257973749929e-05,0.09545184928866426
42.0,-83.0,-83.0,42.0,7.384959,7,T1,0.41253385122120384,0.41253385122120384,59.799421885614784,27.87878360436837,0.3347727314486901,522.7965925103387
42.0,-82.75,-82.75,42.0,7.746183,6,T1,0.4458911600708962,0.4458911600708962,56.00561970762028,25.730494190176067,0.3420644802385167,534.1837266554717
42.0,-82.5,-82.5,42.0,7.8242426,6,T1,0.4526653990447521,0.4526653990447521,58.88640626184987,25.392304030208773,0.256475573503131,400.5241292456962
42.0,-82.25,-82.25,42.0,7.9412446,6,T1,0.4620229655355215,0.4620229655355215,49.73946030713065,24.73220882454973,0.0,0.0
42.0,-82.0,-82.0,42.0,8.129242,5,T1,0.47683958296477796,0.47683958296477796,75.063969042922,24.354874538578457,0.0,0.0
42.0,-81.75,-81.75,42.0,8.385173,4,T1,0.4966991973519325,0.4966991973519325,117.1178663083314,24.004675498092524,0.0,0.0
42.0,-81.5,-81.5,42.0,8.273967,5,T1,0.48842293691635136,0.48842293691635136,130.86242064438665,24.618692862771198,0.0,0.0
42.0,-81.25,-81.25,42.0,8.125981,5,T1,0.47655419367551805,0.47655419367551805,159.47116749190587,25.673980452587998,0.0,0.0
