x,y,Max Capacity (MW),LCOE without Spur,LCOE with Spur,Capacity Factor,Interconnection Cost ($/kW),Availability Fraction
-94.5,55.5,0.0,62.208651417727765,117.26404947336582,0.1854916643347949,1499.3221280472867,0.0
-94.5,55.75,0.0,62.56838146571015,120.40498923090418,0.1844252003517357,1566.0070844457437,0.0
-94.5,56.0,0.0,62.7730380417858,123.27021732171046,0.1838239258041994,1632.705321992614,0.0
-94.5,56.25,0.0,63.02976895900407,126.2563070201451,0.18307517984085833,1699.4152769072132,0.0
-94.5,56.5,0.0,63.338289998781505,129.3687851187765,0.18218341997738507,1766.1356214195512,0.0
-94.5,56.75,0.0,63.67472608531329,132.56402825850438,0.1812208233457789,1832.8652209013821,0.0
-94.25,41.75,0.0,53.925563108257265,112.63015299849474,0.21398360299608074,1844.2644713563975,0.0
-94.25,42.0,0.0,53.938991681844456,110.53719687831476,0.2139303299468507,1777.6475804468719,0.0
-94.25,42.25,0.0,53.88731277997531,108.31289053311822,0.21413549297981355,1711.0486238559038,0.0
-94.25,42.5,0.0,53.82097612829508,106.06440064866938,0.2143994241202729,1644.4697805715432,0.0
-94.25,42.75,0.0,53.760070676187006,103.83233361263916,0.21464231989205135,1577.9135966267477,0.0
-94.25,43.0,0.0,53.767371560144305,101.73492055452259,0.21461317435965155,1511.3830655805898,0.0
-94.25,43.25,0.0,53.793469619578424,99.67268967466929,0.21450905414916147,1444.8817310860686,0.0
-94.25,43.5,0.0,53.77156439629114,97.52241084910301,0.21459643990371477,1378.4138189321793,0.0
-94.25,43.75,0.0,53.82732541362682,95.51288585719765,0.21437413430495622,1311.9844089036628,0.0
-94.25,44.0,0.0,53.87853429633609,93.49250935508334,0.2141703822904871,1245.5996611523838,0.0
-94.25,44.25,0.0,54.08968558830336,91.74105841374889,0.21333431987988327,1179.2671182883307,0.0
-94.25,44.5,0.0,54.357007367339214,90.0681179349326,0.21228516517689716,1112.996114334751,0.0
-94.25,44.75,0.0,54.445036052100654,88.08654625314506,0.21194193491680502,1046.7983371603484,0.0
-94.25,45.0,0.0,54.66009086828981,86.30148808750518,0.21110806996831574,980.6886156258321,0.0
-94.25,45.25,0.0,54.941463687461926,84.60524065390497,0.21002691797835654,914.686042857864,0.0
-94.25,45.5,0.0,55.21900474335827,82.88562470103102,0.2089712833675321,848.8156144212413,0.0
-94.25,45.75,0.0,55.19967330738268,80.71574548954173,0.20904446704314303,783.1106765545723,0.0
-94.25,46.0,0.0,55.14495570905227,78.50386129283784,0.2092518914763262,717.6166876519899,0.0
-94.25,46.25,0.0,55.50374657689861,76.87788146497417,0.2078992320186937,652.3971821841312,0.0
-94.25,46.5,0.0,55.54412291538538,74.80749720903295,0.207748105142932,587.5435733227386,0.0
-94.25,46.75,0.0,55.6568198971448,72.84514690144822,0.2073274453844493,523.1919457799223,0.0
-94.25,47.0,0.0,55.47917228384324,70.52859920511673,0.2079913202104114,459.5532266071119,0.0
-94.25,47.25,0.0,55.569719278580145,68.5909047501968,0.20765241281226526,396.97042515961465,0.0
-94.25,47.5,0.0,55.50538285123095,66.51500770679317,0.20789310324055382,336.0340209774676,0.0
-94.25,47.75,0.0,55.766236151025446,64.91165878517064,0.20692065816038105,277.82944861084616,0.0
-94.25,48.0,0.0,56.02401776292464,63.447860525629096,0.20596856041863137,224.49172869433613,0.0
-94.25,48.25,0.0,56.068236133838596,61.848552351835586,0.2058061227385969,174.65480339409197,0.0
-94.25,48.5,0.0,56.19459614909624,60.35307805337602,0.20534334399132437,125.36782514500106,0.0
-94.25,48.75,7359.880459261005,56.25980056113555,59.22560577881878,0.2051053535989377,89.30798010355845,0.49535425520596216
